FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,FID_1,FID_P21inc,FID_12,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,GEOID10_1,NAME10_1,NAMELSAD_1,MTFCC10_1,FUNCSTAT_1,ALAND10_1,AWATER10_1,INTPTLAT_1,INTPTLON_1,area_1,interarea,percentage
64,25,025,060501,25025060501,605.01,Census Tract 605.01,G5020,S,411742.000000000000000,0.000000000000000,+42.3368686,-071.0382133,101.733112559000010,64,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,184,25,025,060501,25025060501,605.01,Census Tract 605.01,G5020,S,411742.000000000000000,0.000000000000000,+42.3368686,-071.0382133,101.733112559000010,1.327384941230000,0.013047717776800
65,25,025,981202,25025981202,9812.02,Census Tract 9812.02,G5020,S,1594870.000000000000000,933939.000000000000000,+42.3439164,-071.0243619,391.220099190999970,65,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,185,25,025,981202,25025981202,9812.02,Census Tract 9812.02,G5020,S,1594870.000000000000000,933939.000000000000000,+42.3439164,-071.0243619,391.220099190999970,285.327929402000000,0.729328401051000
66,25,025,040100,25025040100,401,Census Tract 401,G5020,S,259341.000000000000000,64873.000000000000000,+42.3729980,-071.0601499,64.261569191700005,66,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,186,25,025,040100,25025040100,401,Census Tract 401,G5020,S,259341.000000000000000,64873.000000000000000,+42.3729980,-071.0601499,64.261569191700005,10.133882491500000,0.157697401713000
67,25,025,040600,25025040600,406,Census Tract 406,G5020,S,1426899.000000000000000,420711.000000000000000,+42.3830719,-071.0699730,353.722048046999990,67,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,187,25,025,040600,25025040600,406,Census Tract 406,G5020,S,1426899.000000000000000,420711.000000000000000,+42.3830719,-071.0699730,353.722048046999990,135.200717547000010,0.382223042905000
68,25,025,040401,25025040401,404.01,Census Tract 404.01,G5020,S,429844.000000000000000,28580.000000000000000,+42.3741334,-071.0663888,107.015870535999990,68,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,195,25,025,040401,25025040401,404.01,Census Tract 404.01,G5020,S,429844.000000000000000,28580.000000000000000,+42.3741334,-071.0663888,107.015870535999990,14.018846253800000,0.130997824749000
69,25,025,020303,25025020303,203.03,Census Tract 203.03,G5020,S,448840.000000000000000,78767.000000000000000,+42.3659600,-071.0634677,111.316039504000000,69,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,196,25,025,020303,25025020303,203.03,Census Tract 203.03,G5020,S,448840.000000000000000,78767.000000000000000,+42.3659600,-071.0634677,111.316039504000000,57.954281773900000,0.520628312255000
70,25,025,070402,25025070402,704.02,Census Tract 704.02,G5020,S,267664.000000000000000,10223.000000000000000,+42.3451368,-071.0644405,65.869917159400003,70,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,197,25,025,070402,25025070402,704.02,Census Tract 704.02,G5020,S,267664.000000000000000,10223.000000000000000,+42.3451368,-071.0644405,65.869917159400003,9.056059116740000,0.137483991286000
71,25,025,020301,25025020301,203.01,Census Tract 203.01,G5020,S,256258.000000000000000,328.000000000000000,+42.3631745,-071.0686463,63.200015045999997,71,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,199,25,025,020301,25025020301,203.01,Census Tract 203.01,G5020,S,256258.000000000000000,328.000000000000000,+42.3631745,-071.0686463,63.200015045999997,0.984335999800000,0.015574932997800
72,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,S,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,89.865942596699995,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000
73,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,S,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,33.808767620499999,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000
74,25,025,010702,25025010702,107.02,Census Tract 107.02,G5020,S,299981.000000000000000,0.000000000000000,+42.3518354,-071.0755159,74.121632525300001,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000
75,25,025,010204,25025010204,102.04,Census Tract 102.04,G5020,S,254706.000000000000000,0.000000000000000,+42.3462887,-071.1033879,62.936564123799997,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000
76,25,025,000703,25025000703,7.03,Census Tract 7.03,G5020,S,178020.000000000000000,0.000000000000000,+42.3513290,-071.1282159,43.987851687400003,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000
