FID,FID_P21inc,FID_1,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
17,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,87,25,025,170701,25025170701,1707.01,Census Tract 1707.01,G5020,S,507247.000000000000000,153379.000000000000000,+42.4022230,-070.9936992,127.537769650000000,9.306834329870000,0.072973162032000
18,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,88,25,025,040801,25025040801,408.01,Census Tract 408.01,G5020,S,952430.000000000000000,752502.000000000000000,+42.3790410,-071.0520372,235.652889689999990,153.556003186999990,0.651619436490000
19,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,126,25,025,100700,25025100700,1007,Census Tract 1007,G5020,S,1203877.000000000000000,173339.000000000000000,+42.2826719,-071.0479602,300.967518976000010,35.969987274700003,0.119514515709000
20,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,127,25,025,100603,25025100603,1006.03,Census Tract 1006.03,G5020,S,886469.000000000000000,343678.000000000000000,+42.2915512,-071.0413191,220.209980922999990,68.209356189999994,0.309746887512000
21,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,128,25,025,092101,25025092101,921.01,Census Tract 921.01,G5020,S,1291966.000000000000000,64101.000000000000000,+42.2979499,-071.0541278,319.843708999000000,8.220233211069999,0.025700781287200
22,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,129,25,025,061101,25025061101,611.01,Census Tract 611.01,G5020,S,165282.000000000000000,0.000000000000000,+42.3262844,-071.0542968,40.837574916599998,17.445469522400000,0.427191613558000
23,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,131,25,025,070700,25025070700,707,Census Tract 707,G5020,S,164131.000000000000000,0.000000000000000,+42.3458876,-071.0761484,40.554221093599999,1.346102112530000,0.033192651128100
24,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,134,25,025,070300,25025070300,703,Census Tract 703,G5020,S,336063.000000000000000,0.000000000000000,+42.3484105,-071.0703571,83.035916548399996,8.464908736670001,0.101942738619000
25,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,135,25,025,070200,25025070200,702,Census Tract 702,G5020,S,268778.000000000000000,0.000000000000000,+42.3496539,-071.0639144,66.411632553399997,21.904721230100002,0.329832596910000
26,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,136,25,025,070101,25025070101,701.01,Census Tract 701.01,G5020,S,1019135.000000000000000,89007.000000000000000,+42.3524416,-071.0575175,253.297183644000000,50.158179592400003,0.198021071023000
27,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,137,25,025,061200,25025061200,612,Census Tract 612,G5020,S,1841489.000000000000000,72450.000000000000000,+42.3398086,-071.0567242,455.112653916000000,238.265416702000010,0.523530635002000
28,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,138,25,025,061000,25025061000,610,Census Tract 610,G5020,S,173037.000000000000000,0.000000000000000,+42.3316206,-071.0499171,42.754391395299997,9.878455717510001,0.231051253336000
29,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,139,25,025,060800,25025060800,608,Census Tract 608,G5020,S,341227.000000000000000,0.000000000000000,+42.3354034,-071.0514926,84.311015683099995,13.835593691700000,0.164101850507000
30,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,140,25,025,060700,25025060700,607,Census Tract 607,G5020,S,128228.000000000000000,0.000000000000000,+42.3385217,-071.0539041,31.682349232899998,0.137017240608000,0.004324718460770
31,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,141,25,025,080100,25025080100,801,Census Tract 801,G5020,S,1026391.000000000000000,0.000000000000000,+42.3293317,-071.0705291,253.604597856000000,0.588053411329000,0.002318780559580
32,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,142,25,025,060301,25025060301,603.01,Census Tract 603.01,G5020,S,272518.000000000000000,0.000000000000000,+42.3334669,-071.0369483,67.334143645400005,0.181782884824000,0.002699713324960
33,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,143,25,025,090901,25025090901,909.01,Census Tract 909.01,G5020,S,1173062.000000000000000,349466.000000000000000,+42.3170979,-071.0445333,291.766911940000000,114.753242545000010,0.393304510721000
34,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,144,25,025,060101,25025060101,601.01,Census Tract 601.01,G5020,S,295623.000000000000000,0.000000000000000,+42.3347618,-071.0279302,73.041473053999994,7.169792717230000,0.098160571213100
35,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,146,25,025,180101,25025180101,1801.01,Census Tract 1801.01,G5020,S,1137721.000000000000000,790428.000000000000000,+42.3869153,-070.9750268,281.100611387000010,37.070536066999999,0.131876397864000
36,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,149,25,025,981502,25025981502,9815.02,Census Tract 9815.02,G5020,S,1252250.000000000000000,27493.000000000000000,+42.3963670,-071.0043791,316.154077325000000,150.410683901999990,0.475751207053000
37,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,150,25,025,060600,25025060600,606,Census Tract 606,G5020,S,1260969.000000000000000,632511.000000000000000,+42.3495755,-071.0422812,309.302704575000010,208.745578937999990,0.674890894423000
38,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,151,25,025,060400,25025060400,604,Census Tract 604,G5020,S,399278.000000000000000,0.000000000000000,+42.3323988,-071.0428981,98.654182599899997,0.233777892788000,0.002369670363960
39,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,152,25,025,060200,25025060200,602,Census Tract 602,G5020,S,170386.000000000000000,0.000000000000000,+42.3325583,-071.0326799,42.098565050900000,3.730561065230000,0.088614922164700
40,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,153,25,025,051200,25025051200,512,Census Tract 512,G5020,S,412098.000000000000000,496108.000000000000000,+42.3642605,-071.0365915,104.223615667999990,55.931065265900003,0.536644837232000
41,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,154,25,025,050700,25025050700,507,Census Tract 507,G5020,S,271727.000000000000000,0.000000000000000,+42.3753575,-071.0332714,67.137422602000001,58.053547011500001,0.864697284488000
42,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,155,25,025,050600,25025050600,506,Census Tract 506,G5020,S,169229.000000000000000,0.000000000000000,+42.3718877,-071.0372695,41.812655650400004,38.108384388099999,0.911407893025000
43,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,156,25,025,050500,25025050500,505,Census Tract 505,G5020,S,114773.000000000000000,0.000000000000000,+42.3697766,-071.0339104,28.358037005700002,26.449726770400002,0.932706546828000
44,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,157,25,025,050400,25025050400,504,Census Tract 504,G5020,S,131979.000000000000000,0.000000000000000,+42.3682184,-071.0379018,32.609176367899998,17.152153317300002,0.525991614256000
45,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,158,25,025,050300,25025050300,503,Census Tract 503,G5020,S,355328.000000000000000,364097.000000000000000,+42.3722392,-071.0434118,86.226349980600006,61.887074175999999,0.717728098081000
46,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,159,25,025,050200,25025050200,502,Census Tract 502,G5020,S,243272.000000000000000,0.000000000000000,+42.3775778,-071.0357577,60.106694198100001,8.331977257609999,0.138619788840000
47,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,160,25,025,040300,25025040300,403,Census Tract 403,G5020,S,280098.000000000000000,0.000000000000000,+42.3787347,-071.0633841,69.207584989099999,0.049324584751300,0.000712704897289
48,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,162,25,025,030500,25025030500,305,Census Tract 305,G5020,S,190734.000000000000000,292691.000000000000000,+42.3675368,-071.0519594,46.340019529999999,23.533725365799999,0.507848844357000
49,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,163,25,025,180200,25025180200,1802,Census Tract 1802,G5020,S,1067654.000000000000000,240959.000000000000000,+42.3800132,-070.9880989,263.786700413999990,56.535630773400001,0.214323279698000
50,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,164,25,025,981600,25025981600,9816,Census Tract 9816,G5020,S,586984.000000000000000,158872.000000000000000,+42.3886205,-070.9934424,149.641882363000010,138.042974600000010,0.922488894287000
51,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,165,25,025,051101,25025051101,511.01,Census Tract 511.01,G5020,S,1159406.000000000000000,623214.000000000000000,+42.3854556,-071.0043188,287.052486266000020,90.781796381000007,0.316255042978000
52,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,166,25,025,170601,25025170601,1706.01,Census Tract 1706.01,G5020,S,1277344.000000000000000,85936.000000000000000,+42.4073348,-071.0076986,311.932255473999990,3.508226519350000,0.011246757774400
53,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,167,25,025,160502,25025160502,1605.02,Census Tract 1605.02,G5020,S,1152306.000000000000000,282671.000000000000000,+42.3965390,-071.0183981,280.445720875000010,127.811449575000000,0.455743982031000
54,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,168,25,025,180301,25025180301,1803.01,Census Tract 1803.01,G5020,S,721121.000000000000000,293948.000000000000000,+42.3722211,-070.9899980,178.179292513000010,8.927961659159999,0.050106617515700
55,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,169,25,025,051000,25025051000,510,Census Tract 510,G5020,S,1044305.000000000000000,210152.000000000000000,+42.3873027,-071.0161271,257.807297674999970,99.946418418199997,0.387678779148000
56,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,170,25,025,030400,25025030400,304,Census Tract 304,G5020,S,108635.000000000000000,0.000000000000000,+42.3644367,-071.0541678,26.840956817500000,0.848542558979000,0.031613722444700
57,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,171,25,025,030300,25025030300,303,Census Tract 303,G5020,S,691377.000000000000000,234496.000000000000000,+42.3600562,-071.0532861,169.886468753000000,73.574146140600007,0.433078318012000
58,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,172,25,025,030200,25025030200,302,Census Tract 302,G5020,S,66711.000000000000000,0.000000000000000,+42.3645208,-071.0569750,16.483339830500000,6.351886391130000,0.385351904192000
59,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,173,25,025,030100,25025030100,301,Census Tract 301,G5020,S,76346.000000000000000,0.000000000000000,+42.3669462,-071.0561502,18.863690249800001,0.489204441832000,0.025933655364000
60,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,180,25,025,050101,25025050101,501.01,Census Tract 501.01,G5020,S,299772.000000000000000,184516.000000000000000,+42.3816657,-071.0397908,74.121888640899996,13.825554352499999,0.186524582765000
61,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,181,25,025,050901,25025050901,509.01,Census Tract 509.01,G5020,S,614932.000000000000000,194139.000000000000000,+42.3819368,-071.0295001,151.948273696999990,43.276322058500000,0.284809567135000
62,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,182,25,025,160300,25025160300,1603,Census Tract 1603,G5020,S,567067.000000000000000,294165.000000000000000,+42.3880151,-071.0467339,141.886937749000000,28.025712639399998,0.197521442664000
63,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,183,25,025,160101,25025160101,1601.01,Census Tract 1601.01,G5020,S,707020.000000000000000,55916.000000000000000,+42.3889705,-071.0284298,175.354197340000010,58.817869355600003,0.335423219106000
64,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,184,25,025,060501,25025060501,605.01,Census Tract 605.01,G5020,S,411742.000000000000000,0.000000000000000,+42.3368686,-071.0382133,101.733112559000010,1.327384941230000,0.013047717776800
65,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,185,25,025,981202,25025981202,9812.02,Census Tract 9812.02,G5020,S,1594870.000000000000000,933939.000000000000000,+42.3439164,-071.0243619,391.220099190999970,285.327929402000000,0.729328401051000
66,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,186,25,025,040100,25025040100,401,Census Tract 401,G5020,S,259341.000000000000000,64873.000000000000000,+42.3729980,-071.0601499,64.261569191700005,10.133882491500000,0.157697401713000
67,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,187,25,025,040600,25025040600,406,Census Tract 406,G5020,S,1426899.000000000000000,420711.000000000000000,+42.3830719,-071.0699730,353.722048046999990,135.200717547000010,0.382223042905000
68,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,195,25,025,040401,25025040401,404.01,Census Tract 404.01,G5020,S,429844.000000000000000,28580.000000000000000,+42.3741334,-071.0663888,107.015870535999990,14.018846253800000,0.130997824749000
69,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,196,25,025,020303,25025020303,203.03,Census Tract 203.03,G5020,S,448840.000000000000000,78767.000000000000000,+42.3659600,-071.0634677,111.316039504000000,57.954281773900000,0.520628312255000
70,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,197,25,025,070402,25025070402,704.02,Census Tract 704.02,G5020,S,267664.000000000000000,10223.000000000000000,+42.3451368,-071.0644405,65.869917159400003,9.056059116740000,0.137483991286000
71,0,1,516068.283295999980000,74102083.313999996000000,0.008095632776470,5.503180639010000,199,25,025,020301,25025020301,203.01,Census Tract 203.01,G5020,S,256258.000000000000000,328.000000000000000,+42.3631745,-071.0686463,63.200015045999997,0.984335999800000,0.015574932997800
