,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
1,0000000046,1,FIRST NB,FIRST NATIONAL BANK OF MCCONNE,136
2,0000000047,1,FIRST FNCL BK NA,FIRST FINANCIAL BANK NA,2518
3,0000000056,1,FIRST FNCL BK NA,"FIRST FINANCIAL BANK, N.A.",2235
4,0000000086,1,FIRST NB,FIRST NATIONAL BANK OF GERMANT,35
5,0000000182,1,EXCHANGE NB&TC CO,EXCHANGE NATIONAL BANK & TRUST,197
6,0000000324,1,FIRST NB&TC NEWTOWN,FIRST NATIONAL BANK AND TRUST,199
7,0000000325,1,FNB BK NA,"FNB BANK, NA",393
8,0000000347,1,FIRST NB LACON,THE 1ST NATIONAL BANK OF LACON,16
9,0000000446,1,FIRST NA,"THE FIRST, N.A.",683
10,0000000497,1,FIRST NB,THE FIRST NATIONAL BANK OF SUF,188
11,0000000644,1,HONESDALE NB,THE HONESDALE NATIONAL BANK,494
12,0000000661,1,DNB FIRST NA,"DNB FIRST, NA",202
13,0000000676,1,NATIONAL GRAND BK OF MARBLEH,NATIONAL GRAND BANK,79
14,0000000866,1,MILFORD NB&TC,THE MILFORD NATIONAL BANK,43
15,0000000929,1,NATIONAL UNION BK,THE NATIONAL UNION BANK OF KIN,109
16,0000000976,1,PUTNAM COUNTY NB OF CARMEL,PUTNAM COUNTY NATIONAL BANK,20
17,0000001027,1,LYONS NB,THE LYONS NATIONAL BANK,842
18,0000001083,1,FIRST NB OF GROTON,THE FIRST NATL BANK OF GROTON,226
19,0000001154,1,FIRST NB OF OTTAWA,FIRST NATIONAL BANK OF OTTAWA,232
20,0000001195,1,NATIONAL BK OF MIDDLEBURY,NATIONAL BANK OF MIDDLEBURY,319
21,0000001253,1,BALLSTON SPA NB,BALLSTON SPA NATIONAL BANK,311
22,0000001354,1,NBT BK NA,NBT BANK NA,3768
23,0000001368,1,COMMUNITY NB,COMMUNITY NATIONAL BANK,360
24,0000001398,1,NATIONAL BK OF COXSACKIE,NATIONAL BANK OF COXSACKIE,188
25,0000001467,1,LANDMARK BK NA,LANDMARK BANK,2070
26,0000001493,1,FIRST SOUTHERN NB,FIRST SOUTHERN NATIONAL BANK,579
27,0000001750,1,FIRST NB OF SANTA FE,FIRST NATIONAL BANK OF SANTA F,217
28,0000001770,1,BOONE CTY NB OF COLUMBIA,BOONE COUNTY NATIONAL BANK,945
29,0000001794,1,FIRST NB MN,FIRST NATIONAL BANK MINNESOTA,35
30,0000001926,1,FIRST NB&TC,FIRST NATIONAL BANK AND TRUST,20
31,0000001950,1,FIRST NB OF FORT SMITH,FIRST NATIONAL BANK,275
32,0000001997,1,NATIONAL B&TC,THE NATIONAL BANK AND TRUST CO,403
