,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
1,0000000046,1,FIRST NB,FIRST NATIONAL BANK OF MCCONNE,109
2,0000000047,1,FIRST FNCL BK NA,FIRST FINANCIAL BANK NA,2540
3,0000000056,1,FIRST FNCL BK NA,FIRST FINANCIAL BANK NA,2841
4,0000000086,1,FIRST NB,FIRST NATIONAL BANK OF GERMANT,45
5,0000000182,1,EXCHANGE NB&TC CO,EXCHANGE NATIONAL BANK & TRUST,190
6,0000000324,1,FIRST NB&TC NEWTOWN,FIRST NATIONAL BANK AND TRUST,175
7,0000000325,1,FNB BK NA,"FNB BANK, NA",338
8,0000000347,1,FIRST NB LACON,THE 1ST NATIONAL BANK OF LACON,30
9,0000000446,1,FIRST NA,"THE FIRST, N.A.",806
10,0000000497,1,FIRST NB,THE FIRST NATIONAL BANK OF SUF,244
11,0000000644,1,HONESDALE NB,THE HONESDALE NATIONAL BANK,578
12,0000000661,1,DNB FIRST NA,"DNB FIRST, NA",179
13,0000000676,1,NATIONAL GRAND BK OF MARBLEH,NATIONAL GRAND BANK,111
14,0000000866,1,MILFORD NB&TC,THE MILFORD NATIONAL BANK,65
15,0000000929,1,NATIONAL UNION BK,THE NATIONAL UNION BANK OF KIN,122
16,0000000976,1,PUTNAM COUNTY NB OF CARMEL,PUTNAM COUNTY NATIONAL BANK,23
17,0000001027,1,LYONS NB,THE LYONS NATIONAL BANK,1077
18,0000001083,1,FIRST NB OF GROTON,THE FIRST NATL BANK OF GROTON,250
19,0000001154,1,FIRST NB OF OTTAWA,FIRST NATIONAL BANK OF OTTAWA,345
20,0000001195,1,NATIONAL BK OF MIDDLEBURY,NATIONAL BANK OF MIDDLEBURY,350
21,0000001253,1,BALLSTON SPA NB,BALLSTON SPA NATIONAL BANK,364
22,0000001354,1,NBT BK NA,NBT BANK NA,3630
23,0000001368,1,COMMUNITY NB,COMMUNITY NATIONAL BANK,493
24,0000001398,1,NATIONAL BK OF COXSACKIE,NATIONAL BANK OF COXSACKIE,209
25,0000001467,1,LANDMARK BK NA,LANDMARK BANK,2635
26,0000001493,1,FIRST SOUTHERN NB,FIRST SOUTHERN NATIONAL BANK,682
27,0000001750,1,FIRST NB OF SANTA FE,FIRST NATIONAL BANK OF SANTA F,127
28,0000001794,1,FIRST NB MN,FIRST NATIONAL BANK MINNESOTA,32
29,0000001926,1,FIRST NB&TC,FIRST NATIONAL BANK AND TRUST,32
30,0000001950,1,FIRST NB OF FORT SMITH,FIRST NATIONAL BANK,342
31,0000002036,1,VINTON CTY NB,VINTON COUNTY NATIONAL BANK,718
32,0000002068,1,FIRST DAKOTA NB,FIRST DAKOTA NATIONAL BANK,756
33,0000002137,1,NATIONAL PENN BK,NATIONAL PENN BANK,2615
34,0000002221,1,FIRST NB OF MCMINNVILLE,FNB OF MIDDLE TENNESSEE,1020
35,0000002234,1,FIRST MRCH BK NA,"FIRST MERCHANTS BANK, NA",4818
36,0000002242,1,HAVANA NB,HAVANA NATIONAL BANK,84
37,0000002302,1,FIRST NB,FIRST NATIONAL BANK,179
38,0000002311,1,CAMDEN NB,CAMDEN NATIONAL BANK,3055
39,0000002360,1,LCNB NB,LCNB NATIONAL BANK,802
40,0000002449,1,MERCHANTS NB,MERCHANTS NATIONAL BANK,514
41,0000002477,1,FIRST NB,FIRST NATIONAL BANK OF WEATHER,52
42,0000002503,1,HOMETOWN NB,HOMETOWN NATIONAL BANK,103
43,0000002515,1,EPHRATA NB,THE EPHRATA NATIONAL BANK,876
44,0000002725,1,FIRST NAT B&TC,FIRST NATIONAL BANK AND TRUST,740
45,0000002747,1,HORIZON BK NA,"HORIZON BANK, N.A.",3817
